temp ,rH,smoke(ppm),density_index,class,,,
20.19,47.730,0.0000,1,No fire,,0,1
20.19,47.214,0.0000,1,No fire,,0,1
20.20,45.215,0.0000,1,No fire,,0,1
20.20,44.904,0.0000,1,No fire,,0,1
20.20,44.568,0.0000,1,No fire,,0,1
20.19,44.302,0.0000,1,No fire,,0,1
20.19,44.650,0.0000,1,No fire,,0,1
20.00,43.840,0.0000,1,No fire,,0,1
20.20,43.667,0.0000,1,No fire,,0,1
20.20,45.533,0.0000,1,No fire,,0,1
20.20,43.466,0.0000,1,No fire,,0,1
20.20,43.401,0.0000,1,No fire,,1,1
20.21,43.419,0.0000,1,No fire,,1,1
20.22,43.498,0.0000,1,No fire,,1,1
20.22,43.577,0.0000,1,No fire,,1,
20.23,43.694,0.0000,1,No fire,,,
20.23,43.810,0.0000,1,No fire,,,
20.23,43.931,0.0000,1,No fire,,,
20.24,44.770,0.0000,1,No fire,,,
20.24,44.228,0.0000,1,No fire,,,
20.24,44.321,0.0000,1,No fire,,,
20.24,44.333,0.0000,1,No fire,,,
20.25,44.248,0.0000,1,No fire,,,
20.25,44.137,0.0000,1,No fire,,,
20.25,44.460,0.0000,1,No fire,,,
20.25,43.986,0.0000,1,No fire,,,
20.26,43.937,0.0000,1,No fire,,,
20.26,43.772,0.0000,1,No fire,,,
20.26,43.573,0.0000,1,No fire,,,
20.27,43.448,0.0000,1,No fire,,,
20.28,43.381,0.0000,1,No fire,,,
20.27,43.340,0.0000,1,No fire,,,
19.64,44.213,0.0000,1,No fire,,,
19.63,44.975,0.0000,1,No fire,,,
20.20,44.586,0.0000,1,No fire,,,
20.20,44.904,0.0000,1,No fire,,,
20.20,45.215,0.0000,1,No fire,,,
20.19,47.214,0.0000,1,No fire,,,
20.19,47.730,0.0000,1,No fire,,,
20.80,44.572,0.0000,1,No fire,,,
19.86,45.643,0.0000,1,No fire,,,
19.76,44.114,0.0000,1,No fire,,,
19.64,44.213,0.0000,1,No fire,,,
19.63,44.975,0.0000,1,No fire,,,
19.21,50.109,0.0000,1,No fire,,,
18.60,53.800,0.0000,1,No fire,,,
18.19,53.495,0.0000,1,No fire,,,
17.77,57.461,0.0000,1,No fire,,,
17.59,55.182,0.0000,1,No fire,,,
17.44,56.490,0.0000,1,No fire,,,
17.26,60.814,0.0000,1,No fire,,,
17.15,59.969,0.0000,1,No fire,,,
17.27,54.984,0.0000,1,No fire,,,
17.49,53.473,0.0000,1,No fire,,,
17.65,52.920,0.0000,1,No fire,,,
17.79,52.295,0.0000,1,No fire,,,
17.88,51.944,0.0000,1,No fire,,,
17.91,54.662,0.0000,1,No fire,,,
17.52,59.560,0.0000,1,No fire,,,
17.26,61.500,0.0000,1,No fire,,,
17.10,58.888,0.0000,1,No fire,,,
17.40,60.510,0.0000,1,No fire,,,
16.91,61.197,0.0000,1,No fire,,,
16.85,61.629,0.0000,1,No fire,,,
16.78,63.929,0.0000,1,No fire,,,
16.69,63.450,0.0000,1,No fire,,,
16.81,58.821,0.0000,1,No fire,,,
16.78,61.890,0.0000,1,No fire,,,
16.73,60.831,0.0000,1,No fire,,,
16.73,60.896,0.0000,1,No fire,,,
16.68,62.568,0.0000,1,No fire,,,
16.67,62.124,0.0000,1,No fire,,,
16.68,63.121,0.0000,1,No fire,,,
16.67,63.317,0.0000,1,No fire,,,
16.69,62.448,0.0000,1,No fire,,,
16.57,65.710,0.0000,1,No fire,,,
16.56,62.998,0.0000,1,No fire,,,
16.5,64.220,0.0000,1,No fire,,,
16.42,63.956,0.0000,1,No fire,,,
16.34,64.410,0.0000,1,No fire,,,
16.39,64.487,0.0000,1,No fire,,,
16.38,64.366,0.0000,1,No fire,,,
16.42,64.387,0.0000,1,No fire,,,
20.18,51.822,0.0000,1,No fire,,,
19.85,53.880,0.0000,1,No fire,,,
24.14,29.288,0.0000,1,No fire,,,
26.50,24.750,0.0000,1,No fire,,,
27.72,20.792,0.0000,1,No fire,,,
28.42,19.328,0.0000,1,No fire,,,
28.67,18.638,0.0000,1,No fire,,,
28.23,18.705,0.0000,1,No fire,,,
28.27,18.925,0.0000,1,No fire,,,
30.20,17.689,0.0000,1,No fire,,,
30.61,16.936,0.0000,1,No fire,,,
29.50,23.313,0.0000,1,No fire,,,
28.88,25.535,0.0000,1,No fire,,,
25.22,30.578,0.0000,1,No fire,,,
26.85,26.918,0.0000,1,No fire,,,
27.50,33.453,0.0000,1,No fire,,,
26.53,33.379,0.0000,1,No fire,,,
25.99,34.564,0.0000,1,No fire,,,
25.54,38.670,0.0000,1,No fire,,,
25.00,39.492,0.0000,1,No fire,,,
24.60,41.270,0.0000,1,No fire,,,
24.20,39.539,0.0000,1,No fire,,,
23.86,42.124,0.0000,1,No fire,,,
23.44,44.324,0.0000,1,No fire,,,
23.90,44.218,0.0000,1,No fire,,,
22.75,44.822,0.0000,1,No fire,,,
22.41,46.858,0.0000,1,No fire,,,
25.22,30.578,0.0000,1,No fire,,,
26.85,26.918,0.0000,1,No fire,,,
27.85,23.795,0.0000,1,No fire,,,
28.62,22.317,0.0000,1,No fire,,,
29.40,21.104,0.0000,1,No fire,,,
29.43,20.304,0.0000,1,No fire,,,
29.41,19.691,0.0000,1,No fire,,,
29.16,19.445,0.0000,1,No fire,,,
29.48,19.188,0.0000,1,No fire,,,
29.81,18.917,0.0000,1,No fire,,,
30.13,18.292,0.0000,1,No fire,,,
30.36,17.816,0.0000,1,No fire,,,
30.27,17.780,0.0000,1,No fire,,,
34.00,16.958,0.0000,1,No fire,,,
35.97,15.452,0.0000,1,No fire,,,
37.91,14.100,0.0000,1,No fire,,,
38.61,13.129,0.0000,1,No fire,,,
37.91,14.100,0.0000,1,No fire,,,
38.61,13.129,0.0000,1,No fire,,,
38.50,13.121,0.0000,1,No fire,,,
38.14,12.937,0.0000,1,No fire,,,
39.85,12.614,0.0000,1,No fire,,,
40.30,12.343,0.0000,1,No fire,,,
40.17,11.881,0.0000,1,No fire,,,
40.10,11.699,0.0000,1,No fire,,,
40.21,11.712,0.0000,1,No fire,,,
40.88,11.623,0.0000,1,No fire,,,
41.34,11.351,0.0000,1,No fire,,,
31.87,27.692,0.0000,1,No fire,,,
18.19,62.993,0.0000,1,No fire,,,
24.60,47.721,0.0000,1,No fire,,,
27.70,34.285,0.0000,1,No fire,,,
29.84,27.135,0.0000,1,No fire,,,
32.32,22.616,0.0000,1,No fire,,,
33.65,19.741,0.0000,1,No fire,,,
32.74,18.273,0.0000,1,No fire,,,
31.82,19.480,0.0000,1,No fire,,,
31.93,19.315,0.0000,1,No fire,,,
31.66,18.680,0.0000,1,No fire,,,
31.76,18.436,0.0000,1,No fire,,,
33.44,17.764,0.0000,1,No fire,,,
33.56,16.731,0.0000,1,No fire,,,
35.28,16.113,0.0000,1,No fire,,,
37.32,15.177,0.0000,1,No fire,,,
37.60,14.531,0.0000,1,No fire,,,
37.39,14.980,0.0000,1,No fire,,,
37.32,15.177,0.0000,1,No fire,,,
37.60,14.531,0.0000,1,No fire,,,
37.39,14.980,0.0000,1,No fire,,,
37.87,13.943,0.0000,1,No fire,,,
37.38,13.657,0.0000,1,No fire,,,
38.21,13.361,0.0000,1,No fire,,,
37.33,13.250,0.0000,1,No fire,,,
37.88,12.589,0.0000,1,No fire,,,
37.46,12.696,0.0000,1,No fire,,,
36.32,15.635,0.0000,1,No fire,,,
27.60,53.908,110.2445,3,Fire,,,
28.13,39.172,27.2380,1,No fire,,,
27.28,43.815,14.8916,1,No fire,,,
27.30,45.456,17.0974,1,No fire,,,
26.84,44.392,17.818302,1,No fire,,,
27.23,37.667,97.067436,2,Potential fire,,,
28.27,40.37,95.054962,2,Potential fire,,,
29.66,43.1,103.942963,3,Fire,,,
30.73,38.307,126.676949,3,Fire,,,
30.89,35.781,159.180176,3,Fire,,,
31.2,32.646,163.25473,3,Fire,,,
31.51,28.715,162.202972,3,Fire,,,
31.76,25.963,152.995956,3,Fire,,,
32.6,24.152,142.407593,3,Fire,,,
